vocabulary,pos_freq,neg_freq
mehhhhhh,0,1
underwear,4,0
search,71,79
lalalala,4,0
seesmic,2,0
broad,5,2
wog,0,1
lindtt,1,0
sla,1,1
faaaaaaaaaaaaaaaaaaaaaaaaaaaakkk,1,0
rbu,0,1
toma,1,0
purk,1,0
wiki,4,6
commmon,1,0
ellen,30,16
slider,2,0
riga,1,0
deleg,1,2
ema,1,2
rat,7,13
whhhi,0,1
breed,6,4
nmbd,1,0
plageris,0,1
e46,0,1
reaaaalli,0,1
recruit,7,5
phantasialand,0,2
gul,2,0
amphetamin,0,1
yeahya,1,0
summmmmmer,1,0
nl,5,7
compon,2,0
fluoresc,1,0
deepest,1,3
loma,0,1
sawesom,1,0
unconci,1,0
sitespect,1,0
melborn,1,0
distinct,1,3
rolll,1,0
confim,1,0
doctorrrrr,1,0
sunil,0,1
loubi,1,0
please,7,3
product,99,60
lush,15,7
waaayyy,3,0
mikee,1,0
pointer,3,2
terrifyingli,0,1
cedric,0,1
ler,1,1
pto,1,0
notop,0,1
momofosho,1,0
routin,8,14
awesom,857,233
7014,1,0
nfti,0,1
kane,2,4
flute,2,1
mucu,0,1
beretania,1,0
oowch,0,1
iiiiiinnnn,0,1
80,0,2
nascar,6,1
dtp,0,1
montcalm,1,0
neatli,2,0
unbal,1,0
hahaaa,4,2
feeter,1,1
spr,2,0
quoteena,1,0
mallum,1,0
mansion,3,2
nania,1,0
ohmigodddddddddddddd,1,0
klaxon,1,0
daddio,1,0
feen,1,0
shitazzzz,0,1
welcom,537,40
afraid,23,68
gnna,1,1
summerwood,0,1
shakope,1,0
tartan,1,1
mozno,1,0
godamn,1,0
skype,35,30
rainmast,1,0
easi,119,67
tribe,7,0
kala,1,2
_secretgarden_,0,1
dylan,7,4
wyle,0,1
perfum,2,3
soi,0,1
baptist,0,1
gocco,1,0
stapl,3,4
thurston,0,1
athon,0,1
rhyle,1,0
chippin,1,0
lego,2,6
okay,223,201
metroflog,1,0
extranet,1,0
teammm,1,0
ih,3,0
p1,0,2
btm2,0,1
maya84i,2,0
burden,1,0
lollol,1,0
200,1,4
malabar,1,0
jaaaaaah,1,0
hivemind,0,1
foreverr,1,0
colombo,0,1
movii,1,0
quoterfect,2,1
holiday,138,271
zena,0,1
volley,3,0
insensit,1,2
naxx,1,0
sylar,0,1
schnoodl,1,0
hacker,5,2
wharf,2,1
bodybugg,0,1
frikken,0,2
fatttttt,0,1
ignit,3,0
ortveit,1,0
disclosur,1,0
boyfrand,0,1
couzi,1,0
meck,1,0
monterrey,0,6
largest,4,1
ludwigsburg,1,0
bluemangroup,1,0
retread,1,0
function,14,24
eng,2,4
ewmigod,0,1
mitchel,22,12
ashleyyy,0,1
ash,25,15
jose,9,5
secret,61,23
muzzel,1,0
kirsten,1,1
murd,0,1
joella,0,1
juic,35,40
